"filename", "language", "Markdown", "YAML", "JavaScript", "JSON", "XML", "HTML", "Less", "comment", "blank", "total"
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/.github/workflows/check.yml", "YAML", 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/Contributing.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 17, 43
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/Readme.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 27, 59
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/gulpfile.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 10, 6, 46
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/package-lock.json", "JSON", 0, 0, 0, 17206, 0, 0, 0, 0, 1, 17207
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/package.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/catalog.html", "HTML", 0, 0, 0, 0, 0, 201, 0, 4, 14, 219
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/form.html", "HTML", 0, 0, 0, 0, 0, 254, 0, 6, 24, 284
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/eat.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/home.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/htmlacademy.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/like-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/logo.svg", "XML", 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/mail.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/phone.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/point.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/sedona-big.svg", "XML", 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/sedona-small.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/souvenir.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/telegram.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/tick.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/vk.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/img/youtube.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/index.html", "HTML", 0, 0, 0, 0, 0, 259, 0, 5, 20, 284
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/README.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/card.less", "Less", 0, 0, 0, 0, 0, 0, 88, 0, 35, 123
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/catalog.less", "Less", 0, 0, 0, 0, 0, 0, 37, 0, 11, 48
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/checkbox.less", "Less", 0, 0, 0, 0, 0, 0, 58, 0, 24, 82
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/copyright.less", "Less", 0, 0, 0, 0, 0, 0, 17, 0, 6, 23
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/image.less", "Less", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/main-footer.less", "Less", 0, 0, 0, 0, 0, 0, 39, 0, 14, 53
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/main-header.less", "Less", 0, 0, 0, 0, 0, 0, 60, 0, 22, 82
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/map.less", "Less", 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/modal.less", "Less", 0, 0, 0, 0, 0, 0, 18, 0, 8, 26
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/navigation.less", "Less", 0, 0, 0, 0, 0, 0, 40, 0, 19, 59
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/page-header.less", "Less", 0, 0, 0, 0, 0, 0, 66, 0, 28, 94
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/page.less", "Less", 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/radio.less", "Less", 0, 0, 0, 0, 0, 0, 55, 0, 25, 80
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/reasons.less", "Less", 0, 0, 0, 0, 0, 0, 145, 0, 53, 198
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/review.less", "Less", 0, 0, 0, 0, 0, 0, 105, 1, 47, 153
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/search.less", "Less", 0, 0, 0, 0, 0, 0, 49, 0, 18, 67
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/social.less", "Less", 0, 0, 0, 0, 0, 0, 26, 0, 11, 37
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/user-info.less", "Less", 0, 0, 0, 0, 0, 0, 50, 0, 22, 72
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/blocks/video.less", "Less", 0, 0, 0, 0, 0, 0, 62, 0, 24, 86
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/fonts.less", "Less", 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/mixins.less", "Less", 0, 0, 0, 0, 0, 0, 35, 0, 14, 49
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/style.less", "Less", 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/utils.less", "Less", 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"/Users/artemmalafeev/programming/Designer Projects/HTML Academy/2127625-sedona-26/source/less/variables.less", "Less", 0, 0, 0, 0, 0, 0, 31, 0, 9, 40
"Total", "-", 66, 24, 30, 17249, 124, 714, 1049, 26, 536, 19818